
======================================================================
EXECUTION SLIP — 2026-07-11
======================================================================

=== REAL-MONEY BETS (0) ===
  (none)

=== PRICE-MOVED PASSES (0) ===
  (none)

=== PAPER-ONLY (33) ===
  ATL@STL | TT_Away_Over | Raw Edge: -6.17% | edge -1.572% below 1.0% floor
  ATL@STL | TT_Home_Over | Raw Edge: -17.39% | edge -4.434% below 1.0% floor
  ATL@STL | ML_Away | Raw Edge: +13.75% | Rule71: model 63.3% vs PinVF 49.3% = 14.0% gap > 8%
  ATL@STL | ML_Home | Raw Edge: -13.75% | Rule71: model 36.7% vs PinVF 50.7% = 14.0% gap > 8%
  TOR@SD | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=8 >= 8.0
  TOR@SD | TT_Home_Over | Raw Edge: -22.51% | edge -5.74% below 1.0% floor
  AZ@LAD | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=9 >= 8.0
  AZ@LAD | F5_ML_Away | Raw Edge: — | edge -0.44% below threshold
  AZ@LAD | F5_ML_Home | Raw Edge: — | edge 0.44% below threshold
  AZ@LAD | TT_Away_Over | Raw Edge: -19.65% | edge -5.01% below 1.0% floor
  AZ@LAD | TT_Home_Over | Raw Edge: -22.45% | edge -5.725% below 1.0% floor
  AZ@LAD | ML_Away | Raw Edge: -3.25% | edge -0.757% below 1.0% floor
  AZ@LAD | ML_Home | Raw Edge: -0.53% | edge 0.052% below 1.0% floor

======================================================================
SLIP SUMMARY: Real=0 PriceMoved=0 Paper=33 Rejected=143
LIVE_GAME_BLOCKED: MIL@PIT, MIL@PIT, LAA@MIN, ATH@CWS, COL@SF, NYY@WSH, BOS@NYM, SEA@TB, CLE@MIA — pregame-only gate applied, 0 real-money bets from these games
======================================================================
======================================================================
