
======================================================================
EXECUTION SLIP — 2026-07-03
======================================================================

=== REAL-MONEY BETS (0) ===
  (none)

=== PRICE-MOVED PASSES (0) ===
  (none)

=== PAPER-ONLY (21) ===
  BOS@LAA | TT_Away_Over | Raw Edge: -28.75% | edge -7.333% below 1.0% floor
  BOS@LAA | TT_Home_Over | Raw Edge: -27.52% | edge -7.018% below 1.0% floor
  BOS@LAA | ML_Away | Raw Edge: +0.29% | edge 0.192% below 1.0% floor
  BOS@LAA | ML_Home | Raw Edge: -1.25% | edge -0.192% below 1.0% floor
  MIA@ATH | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=11 >= 8.0
  MIA@ATH | YRFI | Raw Edge: — | edge 0.742% below 1.0% floor
  MIA@ATH | F5_ML_Away | Raw Edge: — | edge -0.89% below threshold
  MIA@ATH | F5_ML_Home | Raw Edge: — | edge 0.89% below threshold
  MIA@ATH | TT_Away_Over | Raw Edge: -26.27% | edge -6.698% below 1.0% floor
  MIA@ATH | TT_Home_Over | Raw Edge: -35.46% | edge -9.042% below 1.0% floor
  MIA@ATH | ML_Away | Raw Edge: +10.06% | Rule71: model 53.5% vs PinVF 44.2% = 9.4% gap > 8%
  MIA@ATH | ML_Home | Raw Edge: -9.10% | Rule71: model 46.5% vs PinVF 55.8% = 9.4% gap > 8%
  MIL@AZ | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=9 >= 8.0
  MIL@AZ | F5_ML_Away | Raw Edge: — | Rule71-F5: model 75.1% vs KalshiF5VF 57.1% = 18.0% > 12%
  MIL@AZ | F5_ML_Home | Raw Edge: — | Rule71-F5: model 24.9% vs KalshiF5VF 42.9% = 18.0% > 12%
  MIL@AZ | TT_Away_Over | Raw Edge: -15.63% | edge -3.986% below 1.0% floor
  MIL@AZ | TT_Home_Over | Raw Edge: -31.22% | edge -7.96% below 1.0% floor
  MIL@AZ | ML_Away | Raw Edge: +15.48% | Rule71: model 72.0% vs PinVF 56.6% = 15.4% gap > 8%
  MIL@AZ | ML_Home | Raw Edge: -18.78% | Rule71: model 24.7% vs PinVF 43.4% = 18.7% gap > 8%
  SD@LAD | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=8 >= 8.0
  SD@LAD | F5_ML_Away | Raw Edge: — | edge -1.447% below threshold
  SD@LAD | TT_Away_Over | Raw Edge: -16.61% | edge -4.236% below 1.0% floor
  SD@LAD | TT_Home_Over | Raw Edge: -17.02% | edge -4.341% below 1.0% floor
  SD@LAD | ML_Away | Raw Edge: -5.90% | edge -1.504% below 1.0% floor
  SD@LAD | ML_Home | Raw Edge: +1.50% | edge 0.382% below 1.0% floor
  TOR@SEA | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=8 >= 8.0
  TOR@SEA | F5_ML_Home | Raw Edge: — | edge -1.155% below threshold
  TOR@SEA | TT_Away_Over | Raw Edge: -27.48% | edge -7.009% below 1.0% floor
  TOR@SEA | TT_Home_Over | Raw Edge: -23.32% | edge -5.946% below 1.0% floor
  TOR@SEA | ML_Away | Raw Edge: -1.92% | edge -0.347% below 1.0% floor
  TOR@SEA | ML_Home | Raw Edge: +0.91% | edge 0.347% below 1.0% floor

======================================================================
SLIP SUMMARY: Real=0 PriceMoved=0 Paper=21 Rejected=122
LIVE_GAME_BLOCKED: STL@CHC, PIT@WSH, MIN@NYY, BAL@CIN, CWS@CLE, NYM@ATL, SF@COL, TB@HOU — pregame-only gate applied, 0 real-money bets from these games
======================================================================
======================================================================
